hospitalid,share_flagged_global
63,0.035668789808917196
66,0.014234875444839857
71,0.034358047016274866
73,0.01064039408866995
79,0.4421168687982359
110,0.20174165457184326
122,0.01569995638901003
141,0.0008424599831508003
142,0.0030511060259344014
144,0.009900990099009901
146,0.18135376756066413
148,0.009252669039145907
152,0.004076086956521739
154,0.012162162162162163
157,0.01220865704772475
165,0.013502779984114376
167,0.016323357947920714
171,0.12956204379562045
176,0.010160427807486631
181,0.0
183,0.09414381022979985
184,0.0014970059880239522
188,0.002969561989606533
195,0.00430416068866571
197,0.0026109660574412533
199,0.08720112517580872
202,0.009398496240601503
206,0.006069802731411229
208,0.06520841931489889
226,0.07926167209554831
227,0.025787965616045846
243,0.08045602605863192
244,0.13102595797280595
248,0.0
252,0.000791765637371338
264,0.005630354957160343
272,1.0
277,1.0
280,1.0
281,1.0
283,0.9991166077738516
300,0.006622516556291391
301,0.7294303797468354
307,0.00078125
310,0.009433962264150943
318,0.0076045627376425855
331,0.03201219512195122
336,0.0013623978201634877
338,0.022201375859912446
345,0.0037313432835820895
384,0.0
388,0.0
390,0.001072961373390558
392,0.007054673721340388
394,0.0028208744710860366
400,0.0008382229673093043
411,0.00277623542476402
413,0.004464285714285714
416,0.9533152909336942
417,0.5637829912023461
420,0.003452855245683931
435,0.0030737704918032786
440,0.16580756013745704
443,0.0013717421124828531
444,0.10321100917431193
449,0.0018181818181818182
452,0.0017391304347826088
458,0.01342756183745583
